request_id,timestamp,_id,date,day_name,hour,city,station_id,station_name,free_bikes,empty_slots
Toronto-6Ib7LMSf,2024-07-25T05:54:22.205000Z,HumberRiverHospital--5vtyzbMy,2024-07-25,Thursday,00:03,Toronto,d44a49765bc28c4e8f29edd8cb694294,Humber River Hospital ,0,13
Toronto-xjT8trGL,2024-07-25T05:54:16.448000Z,SheppardAveW/ChesswoodDr--9OcCXVbf,2024-07-25,Thursday,00:03,Toronto,122f61f32933992b90325cf6b02de9d5,Sheppard Ave W / Chesswood Dr,0,18
Toronto-CmNYENrl,2024-07-25T05:54:22.220000Z,JaneSt/LawrenceAveW--lYnXfh7j,2024-07-25,Thursday,00:03,Toronto,543865bb3e4e09a051a0cb31322af71e,Jane St / Lawrence Ave W,0,14
Toronto-ZbMIdbKC,2024-07-25T05:54:16.352000Z,SussexAve/StGeorgeSt--x5mnaFyX,2024-07-25,Thursday,00:03,Toronto,33ec997a2ea47262cb99a5918f15691a,Sussex Ave / St George St,0,14
Toronto-3YbDJse6,2024-07-25T05:54:22.223000Z,KeeleSt/CatfordRd--wGQSxCMI,2024-07-25,Thursday,00:03,Toronto,3d2b767a1af0d75059d1fd78079d1216,Keele St / Catford Rd,4,10
Toronto-DBtQhjGN,2024-07-25T05:54:23.936000Z,GerrardStE/NasmithAve--jWvB07A9,2024-07-25,Thursday,00:03,Toronto,75e99d6d359bc2d11479941e6f9279e4,Gerrard St E / Nasmith Ave ,12,10
Toronto-MtAQ6XYA,2024-07-25T05:54:20.053000Z,KingStW/PortlandSt-SMART--9VqVaj4U,2024-07-25,Thursday,00:03,Toronto,32cbcb81d2d04a16ed2d1d2ed35220d4,King St W / Portland St - SMART,16,14
Toronto-B5eCDLtK,2024-07-25T05:54:23.351000Z,SentinelRd/FinchAveW--Q4PN42Rj,2024-07-25,Thursday,00:03,Toronto,022818120bd4e5138186fe1ab57f791a,Sentinel Rd / Finch Ave W,2,13
Toronto-ZStYCfym,2024-07-25T05:54:19.584000Z,OakdaleCommunityCentre--y0TECX7Z,2024-07-25,Thursday,00:03,Toronto,103d15a731b9d215637c447fea0c7209,Oakdale Community Centre,6,9
Toronto-VMJSFz7m,2024-07-25T05:54:22.180000Z,ThePondRd/IanMacdonaldBlvd--cXM2VbFc,2024-07-25,Thursday,00:03,Toronto,fbc181887030746137034a35fb5f7cfd,The Pond Rd / Ian Macdonald Blvd,0,15
Toronto-rUVy3VoD,2024-07-25T05:54:16.576000Z,75HollySt--VQPFvZDg,2024-07-25,Thursday,00:03,Toronto,1c0219e93091b1027eda482f4a31ded6,75 Holly St,2,18
Toronto-P61qmmJN,2024-07-25T05:54:18.393000Z,BathurstSt/DundasStW--7IOtgW3i,2024-07-25,Thursday,00:03,Toronto,f9095ffa2741d962cd7c3c3bef2ab8a7,Bathurst St / Dundas St W,0,23
Toronto-pJjwGGST,2024-07-25T05:54:16.324000Z,697LansdowneAve--FgbiW7pK,2024-07-25,Thursday,00:03,Toronto,86207afc6caf1d9931468449070c148e,697 Lansdowne Ave ,9,3
Toronto-t5Ljec9z,2024-07-25T05:54:22.192000Z,JaneSt/YewtreeBlvd--IoS6WmQG,2024-07-25,Thursday,00:03,Toronto,ee019f1c082cac84d721e071f41b4e77,Jane St / Yewtree Blvd,0,15
Toronto-NDCg1Byc,2024-07-25T05:54:22.243000Z,WestonRd/SheppardAveW--rt0r2mFo,2024-07-25,Thursday,00:03,Toronto,3586c281a5706af58a3e4d5d637e7bfc,Weston Rd / Sheppard Ave W,2,13
Toronto-8sfDUuFb,2024-07-25T05:54:22.196000Z,JaneSt/YorkwoodsGt--78WUS7UK,2024-07-25,Thursday,00:03,Toronto,161ab27f7f32ba3232c688d388731574,Jane St / Yorkwoods Gt,2,13
Toronto-wbbB9sL3,2024-07-25T05:54:16.240000Z,LindylouRd/LanyardRd--rd3EL9i3,2024-07-25,Thursday,00:03,Toronto,3654ed1bd8516fddd2364502084cd01b,Lindylou Rd / Lanyard Rd,0,14
Toronto-kmXAaZQL,2024-07-25T05:54:16.262000Z,TangiersRd/FinchAveW--32E1tVpH,2024-07-25,Thursday,00:03,Toronto,3f09d8a338e4501752365339f106a1ff,Tangiers Rd / Finch Ave W,0,15
Toronto-3YGPrpfx,2024-07-25T05:54:16.245000Z,WynfordHeightsCres/ConcordePl--XImXjCFT,2024-07-25,Thursday,00:03,Toronto,eb00d171668cedf07334d8504a1dbd79,Wynford Heights Cres / Concorde Pl,2,8
Toronto-nFIAmC03,2024-07-25T05:54:16.284000Z,BartleyPark--ikEJSQmx,2024-07-25,Thursday,00:03,Toronto,6b344a9f4d6c85f7a5f4dbd25dbb2cc3,Bartley Park ,0,15
Toronto-4XjAgmAt,2024-07-25T05:54:16.272000Z,BrooklawnAve/KingstonRd--XZxoAfEX,2024-07-25,Thursday,00:03,Toronto,57b827c6b26680677f9210d912f842ee,Brooklawn Ave / Kingston Rd,5,5
Toronto-YsaGeOLE,2024-07-25T05:54:21.388000Z,GerrardSquareMall(1010GerrardStE)--bcV0UFnH,2024-07-25,Thursday,00:03,Toronto,a0a11d15c4bd8231d739f71d85a8f29c,Gerrard Square Mall (1010 Gerrard St E),16,6
Toronto-btjg5xPR,2024-07-25T05:54:18.133000Z,JohnSt/MercerSt-SMART--1WJsxJJy,2024-07-25,Thursday,00:03,Toronto,ccb82af3c137b126999a511eaead0f38,John St  / Mercer St - SMART,2,9
Toronto-C1VVRRPJ,2024-07-25T05:54:22.098000Z,UniversityAve/GerrardStW-SMART(South)--5vSU93Vp,2024-07-25,Thursday,00:03,Toronto,f3f1657964f64d6b4355e42b0261c789,University Ave / Gerrard St W - SMART(South),0,14
